conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,lang,quote_count,reply_count,retweet_count
1906935408438681939,2025-04-01T15:07:36.000Z,66,"@frierensaga Gelo, front terdepan buat mitigasi bencana di negeri yg rawan bencana kena potong anggaran 50%. Semoga ga kena bencana parah aja nih negara kita 5 taun kedepan 😰🥲",1907087459256528984,,in,0,2,1
1907051181169647663,2025-04-01T15:01:11.000Z,2,"@WagimanDeep212_ Pak komen dan Bambang pacul, kita sih maunya ga ikut mereka... Apa daya kami ini rakyat jelata yg kl laporan aja hrs bayar... Makan di palak.. Eh.. Maksudnya pajak... BBM dioplos... Uang kami di garong sampe anggaran defisit, eh kami masih disuruh nyumbang ke negara...",1907085841622818876,,in,0,0,0
1907012913308864673,2025-04-01T14:41:32.000Z,44,"@pasargratisbgr Kalian semua harus tahu dan ingat selamanya bahwa Jokowi yg memilih kapolri saat ini dari dulu, anggaran negara di masanya tertinggi no.1 jadi tahukan anggaran besar kepolisian untuk apa???
Untuk melanggengkan kejahatannya dan keluarganya serta kroni2nya",1907080897213685998,,in,0,0,2
1907008331388240132,2025-04-01T09:53:11.000Z,2,Persis kayak negara antah berantah di seberang samudra pasifik amerika syarikat yang suka motong anggaran seenak jidat akhirnya malah nambah pengangguran &amp; duitnya dipake investasi bodong,1907008331388240132,,in,0,0,0
1906994387919278324,2025-04-01T08:57:46.000Z,5,"Selasa, 1 April 2025
#GrokTorial

""Penurunan Pemudik Lebaran 2025: Alarm Ekonomi yang Tak Boleh Diabaikan""

Lebaran selalu menjadi momen sakral sekaligus pendorong ekonomi di Indonesia. Tradisi mudik tidak hanya menyatukan keluarga, tetapi juga menggerakkan roda perekonomian,",1906994387919278324,,in,0,0,2
1906369728530317678,2025-04-01T06:46:08.000Z,2,"@TOPssst @Bdrt007 @RahmatS002 @RIPDEMOKRASI @Jediimar @_aji_satrio_ @Cak_Kancil007 @ChainsawSimple @Dargomb33306384 @BANGSAygSUJUD elo supaya tau bro, anggaran negara buat mereka gila-gilaan tapi buzzer-buzzer nya ODGJ semua bro https://t.co/DhB1gGAgkV",1906961257724624900,,in,0,1,0
1906846144975778290,2025-04-01T06:41:27.000Z,4,"@ALvinSoehendry That's not how the world works

Defisit anggaran negara itu baik.
Trade defisit itu bukan ""kalah dan rugi""",1906960082518384770,,in,0,1,1
1906948057868226570,2025-04-01T05:53:41.000Z,534,"Untuk kesejahteraan prajurit TNI, saya lebih setuju gaji mereka dinaikkan 2 kali lipat dibandingkan dengan aparatur negara lainnya. Negara juga harus menyediakan subsidi lebih besar untuk sandang, pangan dan papan bagi para prajurit.

Negara ini wajib memberi anggaran besar",1906948057868226570,,in,10,93,119
1906885475828130295,2025-04-01T02:10:36.000Z,39,"@ARSIPAJA Anda2 yang pejabat negara tolong bijak sedikit di medsos atau platform komunikasi manapun. Berakmu mengandung anggaran negara, anggaran itu hasil nyekik rakyat, minimal jaga hati rakyat kalau bikin statement @setkabgoid",1906891920665874488,,in,0,4,6
1906647722905444771,2025-04-01T01:52:28.000Z,10,"@Beritasatu kek gini ya pak?

Ngaten niki nggih, para sesepuh ingkang sugih sanget, rakyat punika saniki gesangipun angel sanget. Ekonomi susah, upah UMR mawon sampun kedah dipun syukuri, nanging taksih kedah dipun cekel kaliyan pajeg ingkang boten ndhukung kasajahteran. Rakyat tansah dipun",1906887354494923178,,in,0,4,0
1906644190337081424,2025-03-31T09:46:13.000Z,13,"Gubernur Jawa Barat Dedi Mulyadi mengajak seluruh penyelenggara negara di wilayahnya untuk memiliki kesadaran akan pengelolaan keuangan yang pro rakyat.

~LL #DediMulyadi #AnggaranProRakyat
https://t.co/ljAWvKymzj",1906644190337081424,,in,2,2,6
1906589036032164058,2025-03-31T09:11:33.000Z,5,"@mas_veel Anggaran Buzzer Rp 100 M sudah cair nih. Negara menuju kehancuran, Tiang pondasi keropos, malah di cat doang.
Gpp, hidup ini giliran, ntar anak cucu lu jg akan ngerasain hal yg sama seperti rakyat rasain saat ini buzzer.",1906635466709094635,,in,0,0,0
1906151488994607523,2025-03-31T00:48:33.000Z,3,"@kozirama Ternyata memang mahal harga sebuah undang undang itu, pertama pembodohan terstruktur, pemiskinan wawasan berpikir kritis dengan sembako yang entah modal pembelian sembakonya dari anggaran mana penyediannya, padahal negara defisit anggaran",1906508881955873093,,in,0,0,0
1906215429695307987,2025-03-30T23:29:57.000Z,17,@Ary_PrasKe2 @GunRomli @PaltiWest2024 @__AnakKolong @ArjayaDirja @GM_Warrios @King_PWS_ Kasus receh diprioritaskan kasus besar ketinggalan oleh kejagung. KPK isinya Mental kerdil. KPK gak guna buang2 anggaran negara aja,1906489100762513890,,in,0,1,1
1905937988464594964,2025-03-30T22:02:05.000Z,2,"@ARSIPAJA Dicontoh Pejabat lainnya lah.  Biar merasakan juga yang dirasakan rakyat.  Ngeluh gak enak ? lambat ? makanya Bagusin, kan mereka yang pegang kuasa dan anggaran negara. 

jangan rakyatnya digaslight model si kontol di MPR itu.",1906466988010140049,,in,0,0,0
1906185746723336445,2025-03-30T18:38:57.000Z,5,"@bacottetanggaid Si anjing itu takut  dilapor, makanya nanya udah dilapor apa belum. Gas terus. Sikat parcok yang ngabisin anggaran negara doang.",1906415869678452821,,in,0,0,0
1906348609299460138,2025-03-30T14:11:41.000Z,7,"Anggaran Kematian Di Myanmar Mungkin Mencecah Antara 10,000 Ke 100,000

Mengapa Gempa Bumi di Myanmar dan Thailand Menyebabkan Begitu Banyak Kerosakan? Apa Kata Sains

Gempa bumi merupakan antara bencana alam yang paling merosakkan dan tidak dapat diramal dengan tepat.

Baru-baru https://t.co/GWAxirQjmk",1906348609299460138,https://pbs.twimg.com/media/GnS19Dja0AE3Kuo.jpg,in,1,0,2
1906337687394484534,2025-03-30T13:39:28.000Z,2,"@WGreborn @KejaksaanRI Berkedok ""rahasia pertahanan"" dari pemakaian anggaran atas hak publik tidak pernah transparan. 
Anggaran belanja alutsista negara seharusnya bukan rahasia sektor pertahanan. Karena bukan penyelundupan.",1906340502791696467,,in,0,3,0
1905764137344663598,2025-03-30T12:21:51.000Z,4,"@yaniarsim @prabowo PAK IZIN PAK, UNTUK SOLUSI KEUANGAN NEGARA INI sepertinya EFISIENSI ANGGARAN bukan solusi karena akan berdampat ke MASYARAKAT secara langsung dalam bentuk kerugian🙏🏻 Tapi jika UU PERAMPASAN ASET ini DISAHKAN AKAN MENJADI SOLUSI untuk MEMINIMALISIR KERUGIAN karena ULAH KORUPTOR🫶🏻",1906320971239407707,,in,0,0,0
1906308393754870158,2025-03-30T11:41:19.000Z,4,"Zakat itu komitmen lu dng Allah. Vertikal.
Pajak itu komitmen lu dng kesepakatan hidup bersama antar manusia. Horizontal.
Korupsi itu pengkhianatan lu ke sesama manusia. Nah, durhaja bgt kalo mau utak-atik zakat untuk proyek negara, tapi anggaran di-mark up masuk kantong pribadi.",1906310770247475314,,in,0,1,2
1905229734889607327,2025-03-27T12:05:40.000Z,34,"Sumpah Perwira Sebagai Janji Suci Pegangan Seumur Hidup

Panglima TNI Jenderal TNI Agus Subiyanto memimpin upacara Prasetya Perwira (Praspa) bagi 805 Perwira Prajurit Karier (Pa PK) TNI Reguler, Pa PK Program Khusus (Prosus), dan Perwira Prajurit Sukarela Dinas Pendek (PSDP) TNI https://t.co/ILf4AplLcR",1905229734889607327,https://pbs.twimg.com/media/GnC8AzWboAAGn5N.jpg,in,0,3,4
1905222654560481561,2025-03-27T11:37:32.000Z,617,"Gini amat hidup sbg Rakyat kecil di NEGARA DEMOKRASI PANCASILA .... TUKANG SAYUR ITU PAHLAWAN, YG BER SERAGAM ITU MEMBEBANI ANGGARAN NEGARA  ‼️

Kenapa para aparat kejam sama rakyat kecil spt ini sih??
Apa mereka ngga punya hati??? 🥹😭 https://t.co/ViZrEPapuK",1905222654560481561,https://pbs.twimg.com/ext_tw_video_thumb/1905222571337150464/pu/img/0khUhYntUZQYRvnx.jpg,in,26,70,438
1905175458448293902,2025-03-27T08:30:00.000Z,9,"Badan Riset dan Analisis Kebijakan (BARAK) Pusat PDI Perjuangan menggelar Focus Group Discussion (FGD) mengenai Isu-isu aktual yang mengarah ke krisis Ekonomi-Politik di Kantor DPP PDI Perjuangan, Senin (24/3/2025).

Isu aktual yang dibahas dan dianalisa mulai dari Revisi UU TNI, https://t.co/dkCDgd0HMb",1905175458448293902,https://pbs.twimg.com/media/GnCKTONaAAA5P41.jpg,in,1,2,1
1904958843412758723,2025-03-27T06:18:45.000Z,32,"@ZakkiAmali Hehe gw udah dari kapan tau bilang bahwa tuntut negara dan dewan bikin sistem di mana yg bayar pajak punya kuasa milih anggaran apa yg mau duit pajaknya dipake. Kalau ga ada rakyat yg mau bayarin berarti ya emang ga penting anggarannya.

Dijamin orang bayar pajak makin banyak.",1905142429050925210,,in,0,3,4
1905138525428932731,2025-03-27T06:09:47.000Z,2,Riset tuh mahal makanya butuh dukungan dari kampus &amp; govt kalo ga didukung ya risetnya stagnan &amp; bakal ketinggalan sm negara lain yg invest besar disini. Makanya negara2 maju punya anggaran riset yg gede bgt. Perusahaan besar pun banyak yg berperan krn ya investasi jangka panjang,1905140174276993304,,in,0,1,0
1905132915996160499,2025-03-27T05:40:57.000Z,2,Selama ini PNS atau ASN kyk mereka yg habisin anggaran negara utk gaji orang malas tapi pengen kerja nyantai,1905132915996160499,,in,0,0,0
1905115589225718014,2025-03-27T04:32:06.000Z,0,"Presiden Prabowo Subianto menggelar pertemuan terbatas dengan Menteri Koordinator Bidang Perekonomian Airlangga Hartarto dan Menteri Keuangan Sri Mulyani Indrawati di Istana Kepresidenan, Jakarta, pada Rabu, 26 Maret 2025. Pertemuan tersebut membahas penyusunan Anggaran https://t.co/jKHQHao5H1",1905115589225718014,https://pbs.twimg.com/ext_tw_video_thumb/1905115243916972032/pu/img/bwkXTA0jc2URPQ22.jpg,in,0,0,0
1904815031075954762,2025-03-27T03:05:26.000Z,67,"@Mata_Netizen62 @muchlis_ar @Marbot_Udien @King_PWS_ @kenhans03 @JhonSitorus_18 @HumorJonTampan @GM_Warrios @Cintada16 @ch_chotimah2 @barengwarga Presiden idiot 
Gede bacot 
Mau kasih rakyat makan gratis 
Programnya gak jalan
Udah gelembungin anggaran dimana²
Bilangnya ngirit unt rakyat
Pppk diberhentikan kontraknya
Korup buat perutnya sendiri
Hasil pembusukan jokorup luhut dan prabowo
Negara makin rusak segala bidang",1905093777666220275,,in,0,0,15
1905069064650895522,2025-03-27T01:27:14.000Z,4,"INVESTASI R&amp;D: PILAR MASA DEPAN ATAU CERMIN KETERTINGGALAN?

Mau ke manakah Indonesia di tengah efisiensi anggaran pendidikan dan R&amp;D?

Dalam lanskap global yang semakin didorong oleh inovasi dan teknologi, rasio belanja R&amp;D terhadap GDP menjadi indikator fundamental dalam https://t.co/yUZhLtTDg5",1905069064650895522,https://pbs.twimg.com/media/GnAplFoaIAAeOp-.jpg,in,1,2,4
1904884487630258559,2025-03-26T17:20:12.000Z,6,"@CNNIndonesia Negara abal abal Presidennya Plengak plengok, Banyak Bangun Proyek Tujuannya Untuk Mangkrak Agar Anggaran Masuk Kantong Pribadi",1904946500029005936,,in,0,0,1
1904917425365410013,2025-03-26T15:24:40.000Z,2,"Fenomena Negara Pangkas Anggaran ke Mana-Mana, Inggris Kena https://t.co/LdDTdpLh06",1904917425365410013,,in,0,0,1
1904896370596606310,2025-03-26T14:47:49.000Z,12,"@detikcom Pembangunan ikn jangan dipaksakan spt nafsu mulyono imbasnya ekonomi negara dan rakyat terabaikan, kapala oikn hentikan bohong spt mulyono. Biarkan pembangunan ikn berjalan pelan2 sesuai anggaran yg ada.",1904908153273360514,,in,0,0,0
1904887109930111198,2025-03-26T13:24:12.000Z,2,"PELEMAHAN RUPIAH AKIBAT DARI KEBIJAKAN NGAWUR PEMERINTAH

Pelemahan rupiah ke level terendah sejak krisis 1998 disebabkan oleh kombinasi faktor internal dan eksternal. Di dalam negeri, kekhawatiran muncul terhadap kebijakan fiskal pemerintah Prabowo Subianto, terutama rencana https://t.co/gRglxcAVT3",1904887109930111198,https://pbs.twimg.com/media/Gm-EuzgbsAALkER.jpg,in,0,0,1
1904872981542953221,2025-03-26T12:28:04.000Z,0,"SECARA mengejutkan Pengadilan Tata Usaha Negara (PTUN) Bandung mengabulkan gugatan Rini Sartika atas mutasi jabatan dirinya dari Kepala Bappelitbangda ke Staf Ahli di Pemerintah Kabupaten Bandung Barat (KBB

https://t.co/CtiVa3X5e9",1904872981542953221,,in,0,0,0
1904851804439093276,2025-03-26T11:03:55.000Z,5,"Halo #KoncoBPKJateng

33 Kepala Daerah menyerahkan Laporan Keuangan 𝘜𝘯𝘢𝘶𝘥𝘪𝘵𝘦𝘥 kepada BPK Perwakilan Provinsi Jawa Tengah pada Rabu, 26 Maret 2025 di Auditorium BPK Jateng.
Hal ini sesuai dengan UU Nomor 1 Tahun 2004 tentang Perbendaharaan Negara Pasal 56 ayat 3, LK https://t.co/MPl8nurK5A",1904851804439093276,https://pbs.twimg.com/ext_tw_video_thumb/1904851677167181827/pu/img/xXdMxXK0qI6ezLpa.jpg,in,0,0,0
1904845552426377709,2025-03-26T10:39:04.000Z,3,"Ngomong2 tentang riset, baru baca tempo dan nemuin kalau anggaran riset dikti negara jika dibandingkan dengan Produk Domestik Bruto (PDB) cuma 0,003%.
cuma 1,2 triliun dari pdb 22rb triliun.

Malaysia aja 1,3% anj...
gmn mo riset?",1904845552426377709,,in,0,1,0
1904811875856249303,2025-03-26T08:25:15.000Z,274,"Don't get me wrong.

Saya mungkin prefer federalisme, tapi saya bisa saja fine dengan bentuk negara kesatuan Indonesia asalkan:

- Perkuat Otonomi Daerah (OTDA).

- Alokasi penuh anggaran infrastruktur, pendidikan, &amp; kesehatan, tanpa pemangkasan.

- Pemekaran daerah dilanjutkan.",1904811875856249303,,in,1,17,41
1904802991519260830,2025-03-26T07:49:57.000Z,2,"Utk semua lembaga/institusi negara:

1. Klo kerja makanya yg bner, ga usah deh pungli/minta duit jasa.
*oh ga bisa. Kan dah jadi budaya :)

2. Duit anggaran tuh jangan kebanyakan dipake buat bayar buzzer. Ga bisa kah kerja bener? Atau emg ga kompeten?

Citra baik klo kerjaan bgs!",1904802991519260830,,in,0,1,0
1904435421620449470,2025-03-26T07:16:40.000Z,6,"@NgarahNaon @folkshittmedia Mending tangkep aj semua ny atau di hajar aja, krn demo bnyak mrugikan dri pda manfaat baik nya.
Mrusak fasilitas negara sm dgn membuka jln utk pejabat krupsi dgn anggaran.
Jdi jgn bdoh klo jdi pndemo",1904794616035225721,,in,3,14,0
1904492018077970835,2025-03-26T05:32:13.000Z,2,@prabu_yudianto Ya klo pemangkasan anggaran..logikanya semua   ASN/pejabat negara smuanya jg dpt 30% dong...lha ini nakes yg full 24/7 kok mlh dibedain 🙄,1904768332160471122,,in,0,0,0
1904732946390540437,2025-03-26T05:29:13.000Z,7,"@arthawidhi @MafiaWasit @marcengggg Akurasi lemparan Marceng = Kebocoran dana sana sini di anggaran negara 

Mas baju putih = potret masyarakat Indonesia yg kalau dapat kesempatan korupsi",1904767575470596209,,in,0,0,0
1904756692702933225,2025-03-26T04:45:58.000Z,0,"https://t.co/YNiH4UZR8z

“Dan kalau dari kategori MBR (masyarakat berpenghasilan rendah), guru masih ada di dalam kategori MBR itu. Bayangkan guru-guru masih banyak sekali dari data yang kami terima yang belum punya rumah. Harusnya politik negara, politik anggaran negara, itu ada",1904756692702933225,,in,0,0,0
1904579597267853642,2025-03-26T04:05:02.000Z,67,"@ahriesonta Polisi selama lebih dari 1 dekade adalah INSTITUSI TERORIS YANG PALING KORUP DAN TUKANG REKAYASA KASUS (kasus sambo yg terbesar)

Polisi mendapatkan anggaran terbesar di APBN sekaligus institusi paling korup di negeri ini.

Dengan UU POLRI yang baru polisi bisa merekayasa apapun https://t.co/Ock4x9247z",1904746392016609767,https://pbs.twimg.com/ext_tw_video_thumb/1904746375512023043/pu/img/_cRRBP8zO6W71p0i.jpg,in,0,1,3
1904732713250415054,2025-03-26T04:03:56.000Z,14,"@OpenMindWorld @eDzulfikar lah, dikasih bukti kok diem? keliatan gapernah mengenyam kuliah. makanya gausah mikir wowo dan wiwi better, udah tau pendidikan tinggi adalah hak untuk setiap warga negara. malah ga dijadiin anggaran, yaaa begitu lah. biar yang bodoh tuh makin bodoh kayak kau, nir empati pula",1904746112629583952,,in,0,0,0
1904476794100556022,2025-03-25T22:46:57.000Z,5,@BetaEpsilonPhi Justru orang pemerintahan tuh orang dalem yg lebih tau ga sih klo negara lg ga baik2 aja. Orang luar mana tau klo anggaran sering ditunda buat cair. Tapi ASN pada ga berani demo 🤣,1904666341539537351,,in,0,0,0
1904627807050924391,2025-03-25T20:13:50.000Z,4,"Eh tolong itu duit pajak gue yg TERPAKSA gue sumbangin ke negara dimanfaatin yang bener dong, hire graphic designer yg proper, ini malah bikin konten pake AI. Udah anggaran kementrian paling gede tapi ga mampu hire GD
Dikemanain itu anggaran dr PAJAK GUE bwank??? Ghoib gitu??",1904627807050924391,,in,0,0,0
1904413475419673087,2025-03-25T15:56:01.000Z,22,@MikeyRosfield @erlanishere sadar ga sih kl negara lo lbh kaya harusnya dibanding malaysia? 🤣 kok bisa2nya nanya gini bukannya mikir kenapa negara kita lbh miskin soal anggaran? lo pikirin tu duit kemanaaa,1904562928264925630,,in,0,0,0
1904483907116159394,2025-03-25T14:44:23.000Z,4,"@Boediantar4 Nah kalau betul seperti itu, mulai besok ndak perlu lagi ada pemilu legislatif, cukup tunjuk Ketua2 Partai yang ikut pemilu untuk jadi anggota DPR/MPR, ndak harus 500an orang di DPR, anggaran negara bisa lebih dihemat ! Anggota2 partai biar pada ngurus partai masing2...",1904544900101677245,,in,0,0,0
1904535638847926405,2025-03-25T14:07:37.000Z,5,"Birokrasi yang Mengekang Ruang Publik

Kontradiksi lain muncul dalam Pasal 8A huruf q dan Pasal 42 ayat (2), yang memberikan wewenang kepada Komisi Penyiaran Indonesia (KPI) untuk menyelesaikan sengketa jurnalistik. Padahal, UU No. 40 Tahun 1999 tentang Pers dengan tegas",1904535647299448887,,in,0,1,3
1904526230495396199,2025-03-25T13:30:12.000Z,1,"Kementerian Keuangan (Kemenkeu) telah menyalurkan tunjangan hari raya (THR) sebesar Rp 27,5 triliun hingga Senin (24/3/2025), dengan alokasi Rp 15,9 triliun untuk aparatur sipil negara (ASN) pemerintah pusat dan Rp 11,6 triliun untuk pensiunan. Pembayaran THR bagi ASN pusat telah https://t.co/rWl5lTSQHN",1904526230495396199,https://pbs.twimg.com/media/Gm48f0FXYAAy3N0.jpg,in,0,1,0
1904495686407839797,2025-03-25T11:28:50.000Z,5,"Halo #KoncoBPKJateng

Pemerintah Provinsi Jawa Tengah menyampaikan Laporan Keuangan (LK) Tahun 2024 𝘜𝘯𝘢𝘶𝘥𝘪𝘵𝘦𝘥 kepada BPK Perwakilan Provinsi Jawa Tengah pada Selasa, 25 Maret 2025. 

LKPD Provinsi Jawa Tengah Tahun 2024 𝘜𝘯𝘢𝘶𝘥𝘪𝘵𝘦𝘥 disampaikan secara langsung oleh https://t.co/ADizqtaOYX",1904495686407839797,https://pbs.twimg.com/ext_tw_video_thumb/1904495632297123840/pu/img/EJxam_bGkOiYkEs7.jpg,in,0,0,0
1904381034927669588,2025-03-25T10:03:23.000Z,2,@prabowo #rezimlaknat bubarkan MPR dan DPR yg sdh menyengsarakan rakyat yg ada membuang anggaran negara... Dengarkah kau Prabowo brengsek.. Semoga cepet mati Prabowo Jokowi ini.. Waalllahi ☝️ dengar kami ya Allah 🤲.. https://t.co/THfgw7XfEA,1904474184065208598,https://pbs.twimg.com/ext_tw_video_thumb/1904474126557069312/pu/img/j0XtCtX_wd0jaWeI.jpg,in,1,0,1
1904425308922802682,2025-03-25T08:51:23.000Z,99,"@jackjackparrr @aniyon2244 Dari bbrp temen yg di pemerintahan, hampir semuanya aware kok sama keadaan negara ini.
Diawali dari terdampak akibat efisiensi anggaran, akhirnya pada sadar, ternyata negara makin gak jelas dan serampangan.

Tapi ya memang terhenti sbg obrolan. Apa lah kuasa mereka?",1904456065145790873,,in,0,0,2
1903752958585778532,2025-03-25T07:35:30.000Z,158,"@arachellll Ini maksudnya dilarang minta hak gitu? Kocak!🤣

Ortu gw dulu ditawarin ni program alhamdulillah ga diambil. Siapa coba yg mau nutupin duit negara yg udh motong anggaran sani sini? Lol",1904436968668434445,,in,0,0,9
